Assigned Resource (Track) | Task ID | Task Description | Est. Days | Status  | Challenge/Dependancies |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Ayush (Ingestion) | ING-01 | Tech Setup: Initialize Node.js/Python backend service for ingestion. |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Ayush (Ingestion) | ING-02 | Email Ingestion: Integrate MS Graph API/IMAP to monitor AP Inbox and download attachments. |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Ayush (Ingestion) | ING-03 | SFTP/Scanner Ingestion: Monitor SFTP folder for bulk scanned document uploads. |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Ayush (Ingestion) | ING-04 | Portal Upload API: Build REST endpoints to accept direct file uploads from frontend. |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Ayush (Ingestion) | ING-05 | Pre-processing: File validation, virus scanning, and routing to Blob Storage. |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Ayush (Ingestion) | ING-06 | Integration Testing: End-to-end testing of all 3 ingestion channels. |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Dhwaj (AI & OCR) | OCR-01 | Azure Setup: Provision Azure AI Document Intelligence and secure API keys. |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Dhwaj (AI & OCR) | OCR-02 | API Integration: Send PDFs/Images to Azure AI and receive extracted JSON response. |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Dhwaj (AI & OCR) | OCR-03 | Data Mapping: Map Azure's output to standard JSON (Supplier, PO#, Total, Line Items, Tax). |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Dhwaj (AI & OCR) | OCR-04 | Confidence Scoring: Flag low-confidence extractions for manual human review. |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Dhwaj (AI & OCR) | OCR-05 | Language/Format Handling: Handle US (English) and Mexico (Spanish) basic invoice layouts. |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Manav (Integration) | INT-01 | Connectivity Setup: Establish secure connection (VPN/SFTP/API) to Epicor CMS. |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Manav (Integration) | INT-02 | CMS Master Data Sync: Scheduled jobs to pull/cache Supplier Lists and Active POs. |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Manav (Integration) | INT-03 | CMS Goods Receipt Pull: API to pull Goods Receipt (GR) data against specific POs. |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Manav (Integration) | INT-04 | CFDI Validation (Mexico): Ingest CFDI XML, parse, and validate against SAT rules. |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Manav (Integration) | INT-05 | Data Normalization: Ensure data from multiple CMS instances is formatted identically. |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Developer 4 (Data & Repo) | DAT-01 | Database Schema Setup: Design PostgreSQL tables (Invoices, Suppliers, Users, Audit Logs). |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Roshni (Data & Repo) | DAT-02 | Azure Blob Setup: Provision Blob Storage and create secure read/write utility functions. |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Roshni (Data & Repo) | DAT-03 | Core CRUD APIs: Build REST APIs for database operations (Create, Update, Get Invoice). |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Roshni (Data & Repo) | DAT-04 | Audit Logging: Implement universal logging to track document status changes. |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Roshni (Data & Repo) | DAT-05 | Search API: Dynamic search endpoint to filter invoices by Date, Supplier, Status, PO. |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Developer 5 (UI/UX A) | UI-A-01 | Frontend Boilerplate: Setup React/Next.js repo, routing, global state, and basic layout. |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Aditya (UI/UX A) | UI-A-02 | Command Center Dashboard: Build data table showing ingested invoices with sorting/filters. |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Aditya (UI/UX A) | UI-A-03 | Split-Screen Viewer Shell: UI component with PDF viewer on left, data form on right. |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Aditya (UI/UX A) | UI-A-04 | OCR Data Binding: Connect right-side form to OCR API for auto-population. |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Aditya (UI/UX A) | UI-A-05 | Manual Editing UI: Validation and error states to allow manual correction of OCR mistakes. |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Developer 6 (UI/UX B) | UI-B-01 | Workbench UI Layout: 3-Way Match screen displaying Invoice, PO, and Receipt data. |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Yash (UI/UX B) | UI-B-02 | CMS Data Integration: Connect UI to APIs to fetch live PO/Receipt data on input. |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Yash (UI/UX B) | UI-B-03 | Visual Discrepancy Highlighting: Highlight mismatched fields in red (e.g., Qty mismatches). |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Yash (UI/UX B) | UI-B-04 | Exception Handling UI: Modal dialogs to flag invoices as "Exception" with reason codes. |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Yash (UI/UX B) | UI-B-05 | Submit to Approval: Action buttons to finalize match and send payload to workflow engine. |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Developer 7 (Workflow) | WF-01 | RBAC (Role-Based Access): Implement authentication and permissions logic. |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
